wavelength_um, flux_erg/cm2/s/cm
9.984684664945664423e+00,1.146231881903317261e+10
9.951457760902583161e+00,1.157754264531818771e+10
9.918341428919545066e+00,1.149256782569888687e+10
9.885335301036285216e+00,1.119635407989121056e+10
9.852439010517029416e+00,1.181145944687622833e+10
9.819652191846424572e+00,1.177907733691596985e+10
9.786974480725472603e+00,1.222787237835210991e+10
9.754405514067482130e+00,1.226225855783994675e+10
9.721944929994046802e+00,1.237076482331490898e+10
9.689592367831005859e+00,1.248442294936018562e+10
9.657347468104447330e+00,1.253194651723475075e+10
9.625209872536711231e+00,1.262494717352211189e+10
9.593179224042414077e+00,1.280298211595860863e+10
9.561255166724468069e+00,1.305323376244046593e+10
9.529437345870142906e+00,1.321830771557956123e+10
9.497725407947113396e+00,1.324374571663439941e+10
9.466119000599535482e+00,1.337572312827395058e+10
9.434617772644131151e+00,1.325399408595105171e+10
9.403221374066280447e+00,1.354386363622126961e+10
9.371929456016141913e+00,1.380508543821260452e+10
9.340741670804776575e+00,1.417953729551966858e+10
9.309657671900266607e+00,1.421221793480604553e+10
9.278677113923894382e+00,1.443792759205191612e+10
9.247799652646277124e+00,1.462785809276837158e+10
9.217024944983560175e+00,1.491379251194930458e+10
9.186352648993601377e+00,1.518000400240146255e+10
9.155782423872159015e+00,1.503146052381632042e+10
9.125313929949122382e+00,1.553489111430673790e+10
9.094946828684733475e+00,1.553386397305649376e+10
9.064680782665815784e+00,1.578032010453112984e+10
9.034515455602036837e+00,1.551221416312551689e+10
9.004450512322161870e+00,1.631487310834068298e+10
8.974485618770339457e+00,1.619270011350628471e+10
8.944620442002385374e+00,1.650131750041905212e+10
8.914854650182078899e+00,1.685233022479806328e+10
8.885187912577478642e+00,1.738888185763087845e+10
8.855619899557254371e+00,1.746190976988716507e+10
8.826150282587015283e+00,1.746896555696690369e+10
8.796778734225661367e+00,1.710908638823676109e+10
8.767504928121747199e+00,1.782950142316938019e+10
8.738328539009863505e+00,1.812209516079329681e+10
8.709249242707002736e+00,1.833807028285536957e+10
8.680266716108974379e+00,1.823654262585549164e+10
8.651380637186814937e+00,1.902938304216733932e+10
8.622590684983197917e+00,1.933267978180234528e+10
8.593896539608877561e+00,1.953123630620040131e+10
8.565297882239132576e+00,1.944552921802063370e+10
8.536794395110215206e+00,1.994573554541116333e+10
8.508385761515841139e+00,1.834528870468447113e+10
8.480071665803642134e+00,2.000867629290961838e+10
8.451851793371682575e+00,1.970908868557530212e+10
8.423725830664954728e+00,2.026289828898349762e+10
8.395693465171893521e+00,2.189535751316154480e+10
8.367754385420905550e+00,1.965176230581417084e+10
8.339908280976908728e+00,1.949115673070620346e+10
8.312154842437884383e+00,2.124773427288401031e+10
8.284493761431434677e+00,2.214833107183426666e+10
8.256924730611363117e+00,2.047818104687059021e+10
8.229447443654253291e+00,2.250063449943632889e+10
8.202061595256070703e+00,1.963097172828638077e+10
8.174766881128764595e+00,2.070169549058213043e+10
8.147562997996887546e+00,2.088712900339929581e+10
8.120449643594234601e+00,2.202474248982671738e+10
8.093426516660478853e+00,2.392093221147172546e+10
8.066493316937812352e+00,2.221458552662147522e+10
8.039649745167636752e+00,1.996368638352920151e+10
8.012895503087213100e+00,2.242231469531391907e+10
7.986230293426357818e+00,2.517859481965720367e+10
7.959653819904140448e+00,2.157896690801924896e+10
7.933165787225590293e+00,2.376862701183538055e+10
7.906765901078417258e+00,2.038143544692644119e+10
7.880453868129736250e+00,1.867841586228182220e+10
7.854229396022815557e+00,2.227885400239938354e+10
7.828092193373821672e+00,2.657424904675500107e+10
7.802041969768583662e+00,2.273436687875894928e+10
7.776078435759370855e+00,2.317382550482069778e+10
7.750201302861670527e+00,1.818549329564381790e+10
7.724410283550982470e+00,2.287492690153449249e+10
7.698705091259631317e+00,2.486363670326587296e+10
7.673085440373576205e+00,2.723382545209431458e+10
7.647551046229237315e+00,2.319244287024102402e+10
7.622101625110339285e+00,2.236482498841439819e+10
7.596736894244746630e+00,1.824861902376229858e+10
7.571456571801338242e+00,2.270885636561570740e+10
7.546260376886857912e+00,2.174514028815092468e+10
7.521148029542807478e+00,2.626877610209086990e+10
7.496119250742332873e+00,2.613900333924673462e+10
7.471173762387119055e+00,1.557080550715397263e+10
7.446311287304299142e+00,2.487702788579305649e+10
7.421531549243385761e+00,2.422979722322006226e+10
7.396834272873192617e+00,2.691909297709207535e+10
7.372219183778772056e+00,2.325827544665339661e+10
7.347686008458377493e+00,2.090417784330146027e+10
7.323234474320412524e+00,2.790240032961237335e+10
7.298864309680411111e+00,2.291950440427841187e+10
7.274575243758015120e+00,2.557161288463415909e+10
7.250367006673959835e+00,2.305079826046844864e+10
7.226239329447092352e+00,2.467011283927031326e+10
7.202191943991361534e+00,2.263626512205069733e+10
7.178224583112855051e+00,2.550799149001132965e+10
7.154336980506822208e+00,2.223206429543008423e+10
7.130528870754718973e+00,2.514685427941022491e+10
7.106799989321260114e+00,2.476085188177460861e+10
7.083150072551472221e+00,2.519500080015704727e+10
7.059578857667773377e+00,2.329167576436678696e+10
7.036086082767048389e+00,2.350276592346640015e+10
7.012671486817740885e+00,2.468090026732383728e+10
6.989334809656949865e+00,2.757164223683413696e+10
6.966075791987543120e+00,2.289136654150823593e+10
6.942894175375271537e+00,2.863389657009152985e+10
6.919789702245902951e+00,3.022723331059343338e+10
6.896762115882355992e+00,2.945404392476243591e+10
6.873811160421849031e+00,2.096722346818789673e+10
6.850936580853058011e+00,2.379282075771079636e+10
6.828138123013279603e+00,2.191148669684522629e+10
6.805415533585614796e+00,2.518118848471994019e+10
6.782768560096145372e+00,2.235961956099500656e+10
6.760196950911133484e+00,2.807543531951182556e+10
6.737700455234225672e+00,2.829437855923619461e+10
6.715278823103662198e+00,2.152201378452585220e+10
6.692931805389507716e+00,2.865086083245371246e+10
6.670659153790873042e+00,2.745905639889336395e+10
6.648460620833166246e+00,2.561846707723381042e+10
6.626335959865335745e+00,1.593823217820722580e+10
6.604284925057132050e+00,2.256239110669289398e+10
