wavelength_um, flux_erg/cm2/s/cm
9.984684664945664423e+00,1.148722547672928429e+10
9.951457760902583161e+00,1.160256653645841980e+10
9.918341428919545066e+00,1.151613227886414719e+10
9.885335301036285216e+00,1.121666609707238007e+10
9.852439010517029416e+00,1.183682425711584282e+10
9.819652191846424572e+00,1.180327344274718475e+10
9.786974480725472603e+00,1.225576906850647926e+10
9.754405514067482130e+00,1.228977373336307526e+10
9.721944929994046802e+00,1.239879447947052956e+10
9.689592367831005859e+00,1.251254678982978249e+10
9.657347468104447330e+00,1.255962187057759285e+10
9.625209872536711231e+00,1.265296777543324280e+10
9.593179224042414077e+00,1.283126918089380455e+10
9.561255166724468069e+00,1.308316544630836678e+10
9.529437345870142906e+00,1.324876663354918671e+10
9.497725407947113396e+00,1.327303259200607681e+10
9.466119000599535482e+00,1.340533105161741638e+10
9.434617772644131151e+00,1.328145809215062332e+10
9.403221374066280447e+00,1.357284965039275551e+10
9.371929456016141913e+00,1.383600233094663811e+10
9.340741670804776575e+00,1.421258492924905777e+10
9.309657671900266607e+00,1.424419831992513466e+10
9.278677113923894382e+00,1.447023707109379387e+10
9.247799652646277124e+00,1.466060529496506882e+10
9.217024944983560175e+00,1.494771787537174606e+10
9.186352648993601377e+00,1.521482570406321716e+10
9.155782423872159015e+00,1.506363549239428711e+10
9.125313929949122382e+00,1.556991190957313156e+10
9.094946828684733475e+00,1.556725615552667999e+10
9.064680782665815784e+00,1.581413203734426689e+10
9.034515455602036837e+00,1.554281133405673409e+10
9.004450512322161870e+00,1.635033185066057396e+10
8.974485618770339457e+00,1.622520723656008148e+10
8.944620442002385374e+00,1.653517727578393364e+10
8.914854650182078899e+00,1.688751400909278488e+10
8.885187912577478642e+00,1.742695627794192123e+10
8.855619899557254371e+00,1.749804325246612930e+10
8.826150282587015283e+00,1.750323205129934692e+10
8.796778734225661367e+00,1.713925500091533852e+10
8.767504928121747199e+00,1.786354921014340210e+10
8.738328539009863505e+00,1.815629976663327026e+10
8.709249242707002736e+00,1.837204078688442993e+10
8.680266716108974379e+00,1.826802540254904938e+10
8.651380637186814937e+00,1.906503157088825989e+10
8.622590684983197917e+00,1.936826779691353607e+10
8.593896539608877561e+00,1.956688233691845703e+10
8.565297882239132576e+00,1.947844158254199219e+10
8.536794395110215206e+00,1.997995777346330643e+10
8.508385761515841139e+00,1.836902456686036301e+10
8.480071665803642134e+00,2.004105671201589203e+10
8.451851793371682575e+00,1.973742656497969055e+10
8.423725830664954728e+00,2.029408289422069931e+10
8.395693465171893521e+00,2.193256326416205978e+10
8.367754385420905550e+00,1.967326996212913513e+10
8.339908280976908728e+00,1.951172361287013245e+10
8.312154842437884383e+00,2.127639185604456329e+10
8.284493761431434677e+00,2.217865817548652267e+10
8.256924730611363117e+00,2.050090784938101959e+10
8.229447443654253291e+00,2.252900153304141617e+10
8.202061595256070703e+00,1.964682375384008789e+10
8.174766881128764595e+00,2.072093616954554749e+10
8.147562997996887546e+00,2.090642458632923126e+10
8.120449643594234601e+00,2.204522275752484894e+10
8.093426516660478853e+00,2.394635096113260269e+10
8.066493316937812352e+00,2.223328103434861755e+10
8.039649745167636752e+00,1.997579507871762085e+10
8.012895503087213100e+00,2.244072922793066788e+10
7.986230293426357818e+00,2.520404058808735275e+10
7.959653819904140448e+00,2.159392783956937790e+10
7.933165787225590293e+00,2.378957758957331467e+10
7.906765901078417258e+00,2.039305177010934067e+10
7.880453868129736250e+00,1.868543080175394058e+10
7.854229396022815557e+00,2.229624920092113113e+10
7.828092193373821672e+00,2.660070246765172958e+10
7.802041969768583662e+00,2.274973303287063980e+10
7.776078435759370855e+00,2.318884683834704971e+10
7.750201302861670527e+00,1.819171014220592117e+10
7.724410283550982470e+00,2.288867049098673248e+10
7.698705091259631317e+00,2.488271998300765991e+10
7.673085440373576205e+00,2.725822184627851486e+10
7.647551046229237315e+00,2.320797975943793106e+10
7.622101625110339285e+00,2.237784751555621719e+10
7.596736894244746630e+00,1.825376304199419785e+10
7.571456571801338242e+00,2.272253553908003998e+10
7.546260376886857912e+00,2.175467349522890472e+10
7.521148029542807478e+00,2.629058918867335129e+10
7.496119250742332873e+00,2.615737631893019867e+10
7.471173762387119055e+00,1.557327233630949211e+10
7.446311287304299142e+00,2.489314622560832977e+10
7.421531549243385761e+00,2.424377612286690521e+10
7.396834272873192617e+00,2.693938893927404404e+10
7.372219183778772056e+00,2.326976539082881927e+10
7.347686008458377493e+00,2.091303633003025055e+10
7.323234474320412524e+00,2.792773676347259140e+10
7.298864309680411111e+00,2.293145355503741837e+10
7.274575243758015120e+00,2.558867127075263214e+10
7.250367006673959835e+00,2.306160053198081589e+10
7.226239329447092352e+00,2.468349881364780807e+10
7.202191943991361534e+00,2.264709417786335754e+10
7.178224583112855051e+00,2.552598976314080048e+10
7.154336980506822208e+00,2.224175794624536514e+10
7.130528870754718973e+00,2.516066590385194778e+10
7.106799989321260114e+00,2.477402858601032257e+10
7.083150072551472221e+00,2.520871851615375900e+10
7.059578857667773377e+00,2.330200850722962952e+10
7.036086082767048389e+00,2.351419829679355621e+10
7.012671486817740885e+00,2.469421733446548843e+10
6.989334809656949865e+00,2.758980793678456116e+10
6.966075791987543120e+00,2.290253984314218140e+10
6.942894175375271537e+00,2.865407510453561020e+10
6.919789702245902951e+00,3.025236858705656433e+10
6.896762115882355992e+00,2.947944651353850174e+10
6.873811160421849031e+00,2.097401746947235107e+10
6.850936580853058011e+00,2.380266917514570618e+10
6.828138123013279603e+00,2.191857215630384064e+10
6.805415533585614796e+00,2.519255458719801331e+10
6.782768560096145372e+00,2.236801856023152924e+10
6.760196950911133484e+00,2.809423484139789200e+10
6.737700455234225672e+00,2.831103542044586563e+10
6.715278823103662198e+00,2.152825645620083237e+10
6.692931805389507716e+00,2.867200086458885574e+10
6.670659153790873042e+00,2.747370414969672012e+10
6.648460620833166246e+00,2.563330665796284485e+10
6.626335959865335745e+00,1.594059480584520531e+10
6.604284925057132050e+00,2.257231992575167465e+10
6.582307271396376613e+00,2.208491038429372406e+10
6.560402754686239568e+00,2.543297714699375534e+10
6.538571131542524562e+00,2.763185663109040070e+10
6.516812159390967807e+00,2.642142960206126404e+10
6.495125596464542461e+00,2.534519195555549622e+10
6.473511201800766557e+00,2.580531958508674622e+10
6.451968735239034025e+00,3.421450083679655457e+10
6.430497957417939503e+00,3.171986593943043137e+10
6.409098629772621791e+00,2.858115032170923996e+10
6.387770514532114419e+00,4.008401114094337463e+10
6.366513374716698870e+00,4.008145871832228851e+10
6.345326974135279130e+00,3.907577412188237762e+10
6.324211077382749124e+00,4.507238507383384705e+10
6.303165449837382361e+00,4.759582545572489929e+10
6.282189857658223353e+00,4.414230209773477173e+10
6.261284067782488805e+00,4.541232075370587158e+10
6.240447847922979463e+00,4.315246933037748718e+10
6.219680966565498181e+00,4.390298612043959808e+10
6.198983192966278644e+00,4.507087685854617310e+10
6.178354297149420304e+00,3.875481331984538269e+10
6.157794049904330436e+00,3.954990065505203247e+10
6.137302222783184824e+00,4.780686138844067383e+10
6.116878588098381364e+00,4.106931452858506012e+10
6.096522918920017631e+00,4.302185410140402985e+10
6.076234989073363124e+00,3.833934004415940857e+10
6.056014573136346613e+00,3.438122382979153442e+10
6.035861446437058575e+00,3.772302693022791290e+10
6.015775385051244761e+00,4.227674688973112488e+10
5.995756165799826398e+00,4.250911104496217346e+10
5.975803566246416842e+00,3.867226411577693176e+10
5.955917364694847116e+00,3.937998527330137634e+10
5.936097340186711868e+00,3.472614798923583984e+10
5.916343272498902905e+00,4.200507237650668335e+10
5.896654942141168476e+00,3.672025993690313721e+10
5.877032130353677886e+00,3.183834494904977036e+10
5.857474619104580782e+00,4.137385122949026489e+10
5.837982191087593975e+00,3.550794330658606720e+10
5.818554629719582039e+00,3.807035226144116974e+10
5.799191719138153012e+00,4.482747957280488586e+10
